,electricity_consumption_statista_eia_Gigawatt/h,fred_natgas_price_MHHNGSP,italy_gdpcap_VALUE,milano_weather_Avg. Temp.,milano_weather_Avg. Wind,torino_weather_Avg. Temp.,torino_weather_Avg. Wind,italy_population_refinitiv_statista_Population,napoli_weather_Avg. Temp.,napoli_weather_Avg. Wind,brent_oil_price_LCOc1,energy_mix_eia_Fossil fuels (billion kWh),energy_mix_eia_Hydroelectricity (billion kWh),energy_mix_eia_Solar (billion kWh),energy_mix_eia_Wind (billion kWh),energy_mix_eia_Biomass and waste (billion kWh),roma_weather_Avg. Temp.,roma_weather_Avg. Wind,oal_close_price_refiniti_CO-FOBNWC-AU,italy_electricity_close_price_GMERTRB
2005-01-02,0.4957149083257842,0.7400780137766735,-0.8538493130665529,-1.2333213503237517,-1.0463418344680477,-1.3827050496310516,-0.6608545731782239,-1.6737309968250171,-1.5344827423795377,-1.521202469684397,-1.3315450469140135,1.4480479448625674,-1.1952388510935854,-1.2048114572848188,-1.4573487518675774,-1.352909144694165,-1.741629125176091,-0.945637322751836,-1.0344006264287193,-0.008067585514786152
2005-01-03,0.4999857864278559,0.7310287605681615,-0.8570123123165856,-0.9262654483813697,0.26966955331452036,-1.1305092052027959,0.13563667419956116,-1.6738431591504952,-1.397444289797241,0.4058138850963197,-1.4870098855000677,1.446613386754333,-1.1891188496246456,-1.2048256854438957,-1.4579586564880005,-1.3529185464610785,-1.3661840119544626,0.3870599590784255,-1.0413059673220595,-0.0799926716664302
2005-01-04,0.5042434845555823,0.7228928809253925,-0.860161983552095,-1.0326107144023091,0.597818920310825,-1.2566632312871064,-0.262926939452293,-1.673954368401578,-1.3366111208972016,-0.798959404996481,-1.461049893206069,1.445184921184277,-1.1830254379262422,-1.204839847285636,-1.4585656494862576,-1.3529275860327064,-1.600820548599753,-0.5650992397362307,-1.0468237586303732,-0.1431300860443019
2005-01-05,0.5084880218918294,0.7156498055224619,-0.8632983382325611,-1.1151991495107032,-1.3753616610650603,-1.3322248235370298,-1.059148039417262,-1.6740646243102868,-1.443089833742266,-1.521435672684835,-1.3524392909510239,1.4437625390124855,-1.1769585765593131,-1.204853942918371,-1.459169734674668,-1.352936263983692,-1.3190614774427736,-0.7551986299504877,-1.0510971103959672,-1.735942023524551
2005-01-06,0.5127194176194424,0.7092789650334668,-0.8664213878174761,-1.1154187988919595,-0.05935778040997727,-1.1935323041359918,-0.6607251668778256,-1.6741739266087863,-1.1232263972651313,-1.5205925048853075,-1.25995229964309,1.442346231099035,-1.1709182260848021,-1.2048679724504299,-1.4597709158655507,-1.3529445808886804,-1.2097316831172462,-0.7553377588615598,-1.0542691326611495,-0.494048693140135
2005-01-07,0.5169376909212599,0.7037597901324983,-0.8695311437663226,-1.5641992838312855,-1.3759929454206,-1.3071731637464066,-1.0596345343140623,-1.6742822750291049,-1.078051513003537,-0.5578818624317461,-1.246946150509632,1.4409359883040151,-1.1649043470636493,-1.2048819359901437,-1.4603691968712251,-1.3529525373223155,-1.3820477575655286,-0.9457026559948165,-1.0564829354682268,-1.2554761722501404
2005-01-08,0.5211428609801475,0.6990717114936507,-0.8726276175385814,-1.4100777015448127,-1.0461654426768123,-1.3700563650934827,-1.4573049391293322,-1.6743896693033193,-1.3973245413203692,-1.7626734312260468,-1.2537139786203833,1.439531801487513,-1.1589169000567918,-1.204895833645843,-1.4609645815040107,-1.3529601338592407,-1.5850550639208318,-0.9457553666363159,-1.0578816288595054,-1.234813840997988
2005-01-09,0.5253349469789854,0.6951941597910195,-0.8757108205937353,-1.044051002783883,-1.3751082745713201,-1.2817389505059593,-1.058388357265232,-1.6744961091635067,-0.9711357976338104,-1.2798277782739282,-1.2583597657746686,1.4381336615096179,-1.1529558456251703,-1.2049096655258584,-1.4615570735762258,-1.3529673710740997,-1.303515733862343,-1.136066852667732,-1.0586083228772933,1.1461036447433661
2005-01-10,0.5295139681005772,0.6921065656987013,-0.8787807643912764,-0.9144134118438794,-0.7170886358976852,-1.2565970031405485,-0.6608458714582126,-1.6746015943417594,-1.3674565878960645,-1.521686305619604,-1.257212531435451,1.4367415592304043,-1.1470211443297278,-1.20492343173852,-1.4621466769001903,-1.352974249541537,-1.4913430072556872,-0.9453286453243145,-1.0588061275638971,1.547777181111705
2005-01-11,0.533679943527789,0.6897883598907874,-0.8818374603906872,-0.9382103034538557,-1.0464875936712295,-1.3073147782271584,-1.0600299254878687,-1.6747061245701382,-1.3363933774529542,-1.5207490401865655,-1.2492997923865485,1.4353554855099615,-1.1411127567314037,-1.2049371323921585,-1.4627333952882235,-1.3529807698361964,-1.256335776134267,-0.9461186741107092,-1.0586181529616245,1.3864409814047287
